Frame Number	Computation Time
1003	250300
1004	1145200
1005	90400
1006	147000
1007	268300
1008	80800
1009	76500
1010	168000
1011	83800
1012	75700
1013	155700
1014	81600
1015	71900
1016	76900
1017	147300
1018	77700
1019	79000
1020	70500
1021	102200
1022	86400
1023	107800
1024	73300
1025	87100
1026	73900
1027	73800
1028	199200
1029	80100
1030	74300
1031	250300
1032	740000
1033	97900
1034	475200
1035	133100
1036	441500
1037	446100
1038	3630800
1039	88300
1040	125700
1041	90000
1042	83800
1043	176800
1044	81500
1045	94000
1046	694200
1047	577700
1048	960100
1049	4184400
1050	129500
1051	160400
1052	88400
1053	144700
1054	84500
1055	96200
1056	83900
1057	73000
1058	82000
1059	212300
1060	108500
1061	71300
1062	124600
1063	85600
1064	70600
1065	76500
1066	117100
1067	107400
1068	152500
1069	84500
1070	75100
1071	76800
1072	73700
1073	84300
1074	78700
1075	70100
1076	67200
1077	94300
1078	73000
1079	240700
1080	1479400
1081	96300
1082	110900
1083	127000
1084	103300
1085	545100
1086	2980400
1087	144300
1088	272300
1089	93900
1090	122900
1091	78700
1092	83000
1093	173600
1094	92800
1095	82800
1096	79900
1097	245300
1098	84100
1099	104900
1100	114700
1101	83600
1102	85200
1103	93800
1104	129800
1105	78300
1106	73300
1107	84900
1108	129100
1109	83400
1110	85100
1111	143100
1112	108800
1113	80500
1114	76700
1115	142700
1116	111400
1117	90200
1118	83900
1119	175300
1120	113000
1121	76700
1122	98800
1123	208700
1124	293000
1125	696700
1126	342700
1127	348600
1128	327900
1129	312600
1130	176900
1131	309100
1132	103500
1133	109400
1134	104200
1135	413700
1136	174200
1137	105100
1138	538700
1139	1649200
1140	311500
1141	85100
1142	233900
1143	292200
1144	103500
1145	74600
1146	75100
1147	70800
1148	152400
1149	80400
1150	70700
1151	155100
1152	81200
1153	74400
1154	91800
1155	110600
1156	78100
1157	78400
1158	77000
1159	212400
1160	78800
1161	75400
1162	69700
1163	94100
1164	78700
1165	110100
1166	71300
1167	119700
1168	102500
1169	81700
1170	76200
1171	92300
1172	75300
1173	78400
1174	68700
1175	150100
1176	76100
1177	77500
1178	77600
1179	217700
1180	76900
1181	67400
1182	279300
1183	78800
1184	71300
1185	111300
1186	230600
1187	83000
1188	76600
1189	71900
1190	108000
1191	102700
1192	207200
1193	699800
1194	316600
1195	109900
1196	145700
